"filename", "language", "CMake", "C", "JSON with Comments", "C++", "x86 and x86_64 Assembly", "Shell Script", "Batch", "CMake Cache", "JSON", "Log", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.c", "C", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 136
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h", "C", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 47
"e:\ubuntu\diy-x86os\start\start\source\boot\CMakeLists.txt", "CMake", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.c", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 24
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 10, 2, 15
"e:\ubuntu\diy-x86os\start\start\source\boot\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 15, 130
"e:\ubuntu\diy-x86os\start\start\source\comm\elf.h", "C", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 58
"e:\ubuntu\diy-x86os\start\start\source\comm\types.h", "C", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 38, 56, 410
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 0, 617, 0, 0, 0, 0, 0, 0, 0, 0, 36, 66, 719
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 100
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 310
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\mmu.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\console.c", "C", 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 348
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\dev.c", "C", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 114
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\kbd.c", "C", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 234
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 38
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\tty.c", "C", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 41
"e:\ubuntu\diy-x86os\start\start\source\kernel\fs\fs.c", "C", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 97
