"filename", "language", "x86 and x86_64 Assembly", "C", "JSON with Comments", "CMake", "JSON", "C++", "Batch", "CMake Cache", "Shell Script", "Log", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S", "x86 and x86_64 Assembly", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 52, 9, 107
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 482
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 63
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c", "C", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c", "C", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 234
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c", "C", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 84
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 59
"e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt", "CMake", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\loader\loader.h", "C++", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 8, 25
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c", "C", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c", "C", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 97
"e:\ubuntu\diy-x86os\start\start\source\loader\start.S", "x86 and x86_64 Assembly", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"e:\ubuntu\diy-x86os\start\start\start.code-workspace", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"Total", "-", 473, 2621, 31, 322, 2553, 395, 25, 312, 35, 1011, 340, 876, 8994
